timestamp_utc,pid,rss_kb,vsz_kb,pcpu,pmem
2026-03-16T00:59:04Z,8986,4752,410077472,0.0,0.0
2026-03-16T00:59:35Z,8986,1978240,413125488,764.6,1.5
2026-03-16T01:00:05Z,8986,1988256,413117296,99.5,1.5
2026-03-16T01:00:35Z,8986,2028112,413150064,734.5,1.5
2026-03-16T01:01:05Z,8986,2023856,413141872,99.2,1.5
2026-03-16T01:01:35Z,8986,2017232,413133680,698.3,1.5
2026-03-16T01:02:05Z,8986,2030688,413141872,100.0,1.5
2026-03-16T01:02:35Z,8986,2043120,413150080,793.1,1.5
2026-03-16T01:03:05Z,8986,2045072,413158272,98.3,1.5
2026-03-16T01:03:35Z,8986,2052448,413158272,100.0,1.5
2026-03-16T01:04:05Z,8986,2513136,413455232,776.0,1.9
2026-03-16T01:04:35Z,8986,2570768,413447040,100.0,1.9
2026-03-16T01:05:05Z,8986,2563392,413438848,782.6,1.9
2026-03-16T01:05:35Z,8986,2596320,413471616,100.0,1.9
2026-03-16T01:06:05Z,8986,2612704,413488000,790.5,1.9
2026-03-16T01:06:35Z,8986,2612704,413488000,98.9,1.9
2026-03-16T01:07:05Z,8986,2619456,413488000,328.2,2.0
2026-03-16T01:07:35Z,8986,2624512,413488000,102.1,2.0
2026-03-16T01:08:05Z,9478,9182448,420470848,100.0,6.8
2026-03-16T01:08:35Z,9478,9262736,420733008,100.0,6.9
2026-03-16T01:09:06Z,9479,6171808,417587280,100.0,4.6
2026-03-16T01:09:36Z,9480,3367408,414466096,100.0,2.5
2026-03-16T01:10:06Z,9477,2185040,413392928,100.0,1.6
2026-03-16T01:10:36Z,9481,1411120,413392928,100.0,1.1
2026-03-16T01:11:06Z,9478,8791856,420036720,100.0,6.6
2026-03-16T01:11:36Z,9477,2222032,413392928,100.0,1.7
2026-03-16T01:12:06Z,9479,6576896,417652832,99.0,4.9
2026-03-16T01:12:36Z,9479,6585456,417661024,100.0,4.9
2026-03-16T01:13:06Z,9479,6585680,417661024,99.8,4.9
2026-03-16T01:13:36Z,9478,8727248,419897456,100.0,6.5
2026-03-16T01:14:06Z,8986,2540320,413401456,0.0,1.9
